step,train_loss,train_acc,dev_loss,dev_acc
0,1.795570969581604,0.166,1.7793241739273071,0.16666666666666666
100,0.686549961566925,0.78,0.6684948801994324,0.7786111111111111
200,0.4720991253852844,0.872,0.4213469326496124,0.8653703703703703
300,0.3176230192184448,0.88925,0.3813709020614624,0.8762962962962964
400,0.38160523772239685,0.89325,0.3757551312446594,0.8805092592592593
500,0.2792150378227234,0.89925,0.3339003026485443,0.8939814814814815
600,0.2595213055610657,0.90075,0.33483028411865234,0.8908796296296296
700,0.235664963722229,0.912,0.2994800806045532,0.9043981481481481
800,0.29893600940704346,0.9165,0.28986284136772156,0.9092592592592592
900,0.24987684190273285,0.92075,0.2715801000595093,0.9132870370370371
1000,0.24300377070903778,0.91025,0.2804951071739197,0.9089814814814815
1100,0.22449098527431488,0.92575,0.266515851020813,0.912962962962963
1200,0.24456806480884552,0.9235,0.2652150094509125,0.9148611111111111
1300,0.1786169856786728,0.91425,0.307930588722229,0.9046296296296297
1400,0.2085924744606018,0.925,0.26920947432518005,0.9116203703703704
1500,0.23882633447647095,0.92875,0.25319692492485046,0.9204166666666667
1600,0.28308868408203125,0.92825,0.2585568428039551,0.9135185185185185
1700,0.17196796834468842,0.9135,0.27794957160949707,0.9091666666666667
1800,0.18330124020576477,0.9325,0.25456100702285767,0.9196296296296296
1900,0.3116157054901123,0.92625,0.25128617882728577,0.9193518518518519
